V1	V2
CHD1L	ERCC5
ERCC4	ERCC5
ERCC4	CHD1L
DNA2	ERCC4
BLM	ERCC4
BLM	DNA2
EXO1	ERCC4
EXO1	BLM
BRIP1	ERCC4
BRIP1	DNA2
BRIP1	BLM
BRIP1	EXO1
ELL	GTF2A2
ELL	ELOA3
ELL	ELOA3D
ELL	ELOA3B
ELL2	GTF2A2
ELL2	ELL
CCNT2	GTF2A2
CCNT2	ELOA3
CCNT2	ELOA3D
CCNT2	ELOA3B
CCNT2	ELL
CCNT2	ELL2
ELL3	GTF2A2
ELL3	ELL
ELL3	ELL2
ELL3	CCNT2
EAF2	ELOA3
EAF2	ELOA3D
EAF2	ELOA3B
EAF2	ELL
EAF2	ELL2
EAF2	CCNT2
EAF2	ELL3
CCNT1	GTF2A2
CCNT1	ELOA3
CCNT1	ELOA3D
CCNT1	ELOA3B
CCNT1	ELL
CCNT1	ELL2
CCNT1	CCNT2
CCNT1	ELL3
CCNT1	EAF2
GTF2A1	GTF2A2
GTF2A1	ELL
GTF2A1	ELL2
GTF2A1	CCNT2
GTF2A1	ELL3
GTF2A1	CCNT1
CTDP1	ELOA3
CTDP1	ELOA3D
CTDP1	ELOA3B
CTDP1	ELL
CTDP1	CCNT2
CTDP1	EAF2
CTDP1	CCNT1
COMMD7	DCUN1D4
COMMD7	DCUN1D2
COMMD6	DCUN1D4
COMMD6	DCUN1D2
COMMD6	COMMD7
COMMD5	DCUN1D4
COMMD5	DCUN1D2
COMMD5	COMMD7
COMMD5	COMMD6
COMMD2	DCUN1D4
COMMD2	DCUN1D2
COMMD2	COMMD7
COMMD2	COMMD6
COMMD2	COMMD5
COMMD9	DCUN1D4
COMMD9	DCUN1D2
COMMD9	COMMD7
COMMD9	COMMD6
COMMD9	COMMD5
COMMD9	COMMD2
COMMD8	DCUN1D4
COMMD8	DCUN1D2
COMMD8	COMMD7
COMMD8	COMMD6
COMMD8	COMMD5
COMMD8	COMMD2
COMMD8	COMMD9
COMMD1	DCUN1D4
COMMD1	DCUN1D2
COMMD1	COMMD7
COMMD1	COMMD6
COMMD1	COMMD5
COMMD1	COMMD2
COMMD1	COMMD9
COMMD1	COMMD8
COMMD10	DCUN1D4
COMMD10	DCUN1D2
COMMD10	COMMD7
COMMD10	COMMD6
COMMD10	COMMD5
COMMD10	COMMD2
COMMD10	COMMD9
COMMD10	COMMD8
COMMD10	COMMD1
DCUN1D5	COMMD7
DCUN1D5	COMMD6
DCUN1D5	COMMD5
DCUN1D5	COMMD2
DCUN1D5	COMMD9
DCUN1D5	COMMD8
DCUN1D5	COMMD1
DCUN1D5	COMMD10
CCDC22	DCUN1D4
CCDC22	DCUN1D2
CCDC22	COMMD7
CCDC22	COMMD6
CCDC22	COMMD5
CCDC22	COMMD2
CCDC22	COMMD9
CCDC22	COMMD8
CCDC22	COMMD1
CCDC22	COMMD10
CCDC22	DCUN1D5
DCUN1D3	COMMD7
DCUN1D3	COMMD6
DCUN1D3	COMMD5
DCUN1D3	COMMD2
DCUN1D3	COMMD9
DCUN1D3	COMMD8
DCUN1D3	COMMD1
DCUN1D3	COMMD10
DCUN1D3	CCDC22
BIRC3	COMMD1
BIRC3	CCDC22
DCTN5	DCTN6
COPZ2	DCTN6
COPZ2	DCTN5
COPE	DCTN6
COPE	DCTN5
COPE	COPZ2
CAPZA3	DCTN6
CAPZA3	DCTN5
CAPZA3	COPZ2
CAPZA3	COPE
DCTN4	DCTN6
DCTN4	DCTN5
DCTN4	COPZ2
DCTN4	COPE
DCTN4	CAPZA3
ACTR10	DCTN6
ACTR10	DCTN5
ACTR10	COPZ2
ACTR10	COPE
ACTR10	CAPZA3
ACTR10	DCTN4
ANK3	DCTN6
ANK3	DCTN5
ANK3	COPZ2
ANK3	COPE
ANK3	CAPZA3
ANK3	DCTN4
ANK3	ACTR10
CUX1	FLT3LG
CUX1	EPOR
CUX1	FRS2
FCGR3A	FLT3LG
FCGR3A	EPOR
FCGR3A	FRS2
FCGR3A	CUX1
CD28	FLT3LG
CD28	EPOR
CD28	FRS2
CD28	CUX1
CD28	FCGR3A
BLNK	FLT3LG
BLNK	EPOR
BLNK	FRS2
BLNK	CUX1
BLNK	FCGR3A
BLNK	CD28
ERLIN2	FLT3LG
ERLIN2	EPOR
ERLIN2	FRS2
ERLIN2	FCGR3A
ERLIN2	CD28
ERLIN2	BLNK
FGF19	FLT3LG
