nodes	clusters	HIV_preys	HPV_preys	Secreted_inflamm
AGO1	5	0	0	0
DDX3X	9	0	0	0
EIF3E	9	1	0	0
ELAVL1	14	0	0	0
EIF4G1	9	0	0	0
ACTB	21	0	0	0
AGO2	5	0	0	0
ANXA6	6	0	0	0
CDK7	18	0	0	0
DDOST	12	0	1	0
DLST	12	0	0	0
DNAJB1	11	0	1	0
FBXL12	1	0	0	0
FBXW4	20	0	0	0
H2AFX	31	0	0	0
COMMD3	1	0	0	0
AAAS	16	0	0	0
AHCTF1	22	0	0	0
ALYREF	14	0	0	0
BANF1	12	0	0	0
CASC3	14	0	0	0
CDCA8	22	0	0	0
CPSF1	32	0	0	0
CPSF2	30	0	0	0
CPSF3	23	0	0	0
CPSF4	32	0	0	0
DDX20	11	0	0	0
EIF4A3	16	0	0	0
FIP1L1	32	0	0	0
GEMIN7	11	0	0	0
GEMIN8	11	0	0	0
HDAC4	26	0	0	0
AK2	1	0	0	0
ALPI	11	0	0	0
AMPD1	1	0	0	0
AMPD2	1	0	1	0
AMPD3	1	0	0	0
EPRS	21	1	0	0
AHCY	11	1	0	0
AP2A1	2	0	1	0
CTTN	25	0	1	0
AAK1	2	0	1	0
ACTR2	2	0	0	0
ACTR3	2	0	0	0
ARPC1A	2	0	0	0
ARPC2	2	0	0	0
ARPC4	2	0	0	0
ARPC5	2	0	0	0
ARRB1	25	0	0	0
ARRB2	2	1	0	0
BTC	2	0	0	0
CLTA	2	0	0	0
CLTB	2	0	0	0
CLTC	2	0	0	0
DAB2	2	0	0	0
DNAJC6	2	0	0	0
DNM1	2	0	0	0
DNM2	2	0	0	0
DNM3	2	0	0	0
DVL2	2	0	0	0
EGF	2	0	0	0
EPGN	2	0	0	0
EPS15L1	2	0	0	0
EPS15	2	0	0	0
EREG	2	0	0	0
ESR1	12	0	0	0
FCHO2	2	0	0	0
FNBP1L	2	0	0	0
FNBP1	2	0	0	0
GABARAPL2	12	0	0	0
HBEGF	2	0	0	0
HIP1R	2	0	0	0
AIMP1	21	1	0	0
AIMP2	21	1	0	0
ANXA1	6	0	0	0
ARF1	3	0	0	0
BASP1	21	0	0	0
BUB3	26	0	0	0
CCT8	21	0	0	0
CDC5L	16	0	0	0
CDK1	22	0	0	0
COPA	24	0	1	0
DDB1	8	1	0	0
DDX17	14	0	0	0
DDX23	30	0	0	0
DDX46	32	0	0	0
DDX5	14	0	0	0
DHX15	14	0	0	0
DHX38	16	0	0	0
DHX9	16	0	0	0
DNAJA2	4	0	0	0
DYNC1H1	3	1	0	0
EEF2	12	0	0	0
EFTUD2	14	0	0	0
EIF2S1	9	0	0	0
EIF2S3	9	0	0	0
EIF3B	9	1	0	0
EIF4A1	9	0	0	0
ELOB	1	1	0	0
ELP1	4	0	0	0
FARSB	21	0	0	0
FBXO22	20	0	0	0
FUS	14	0	0	0
GCN1	16	0	1	0
H3F3A	4	0	0	0
H3F3B	10	0	0	0
HDAC10	7	0	0	0
HIST1H2AJ	7	0	0	0
HIST1H4A	4	0	0	0
HIST1H4B	4	0	0	0
HIST1H4C	4	0	0	0
HIST1H4D	4	0	0	0
HIST1H4E	4	0	0	0
HIST1H4F	4	0	0	0
HIST1H4H	4	0	0	0
HIST1H4I	4	0	0	0
HIST1H4J	4	0	0	0
HIST1H4K	4	0	0	0
HIST1H4L	4	0	0	0
HIST2H4A	4	0	0	0
HIST2H4B	4	0	0	0
HIST3H2BB	7	0	0	0
HIST4H4	4	0	0	0
HNRNPA0	23	0	0	0
CENPQ	17	0	0	0
CEP57	3	0	0	0
BMI1	10	0	0	0
CDC34	27	0	0	0
ESR2	11	0	0	0
ALMS1	3	0	0	0
BORA	3	0	0	0
COPG1	24	0	0	0
ERCC2	18	0	0	0
GNA13	25	0	0	0
EIF3M	9	1	0	0
FN1	11	0	0	0
FBXL13	20	0	0	0
ATM	5	0	0	0
ATR	5	0	0	0
BRIX1	12	0	0	0
CAND1	27	0	0	0
CHD3	29	0	0	0
CHEK1	18	0	0	0
DDX52	8	0	0	0
EBNA1BP2	12	0	1	0
FBL	8	0	1	0
FGF8	13	0	0	0
ATAD3A	12	1	0	0
BARD1	5	0	0	0
BRD7	5	0	0	0
CCNH	18	0	0	0
COPS5	27	0	0	0
CUL4A	8	0	0	0
GTF2H1	18	0	0	0
COPS2	27	0	1	0
CPNE1	6	0	0	0
EXOSC2	8	0	0	0
EXOSC3	8	0	0	0
HIST2H3A	10	0	0	0
HIST2H3C	10	0	0	0
HIST2H3D	10	0	0	0
AFF4	18	1	0	0
ANAPC2	8	0	0	0
ANK3	28	0	0	0
ATF2	31	0	0	0
BIRC3	15	0	0	0
CCNB1	17	0	1	0
CLASP2	22	0	0	0
ELAVL2	32	0	0	0
EP300	5	0	0	0
ERCC6	5	0	0	0
GATA1	10	0	0	0
GRIA1	6	0	0	0
CKB	21	0	0	0
CTDP1	19	0	0	0
BUB1B	26	0	0	0
CDC20	26	0	0	0
ASB11	1	0	0	0
ASB9	1	0	0	0
DCUN1D3	15	0	0	0
EPO	13	0	0	0
GREB1	10	0	0	0
AURKAIP1	9	0	0	0
EIF3D	9	1	0	0
ETF1	16	0	0	0
GSPT1	16	0	0	0
CHD4	10	0	0	0
COPB2	24	0	1	0
CUL2	20	1	0	0
DYNC1I2	3	1	0	0
H2AFZ	7	0	0	0
DCAF13	1	0	0	0
ACIN1	23	0	0	0
CCDC22	15	0	0	0
DNMBP	25	0	0	0
FBXL19	1	0	0	0
DCTN2	3	0	0	0
ASB16	1	0	0	0
BAZ2A	10	0	0	0
CDC27	26	0	0	0
CENPA	17	0	0	0
CKAP5	3	0	1	0
CLASP1	3	0	1	0
DDX41	14	0	0	0
GTF2F1	16	0	0	0
AXL	13	0	0	0
ASB18	1	0	0	0
DDX39B	23	0	0	0
CNTRL	25	0	0	0
ABRAXAS1	10	0	0	0
BRCC3	10	0	0	0
BRIP1	33	0	0	0
HIST1H2AA	4	0	0	0
HIST1H2AC	7	0	0	0
HIST1H2AD	7	0	0	0
HIST1H2AG	29	0	0	0
HIST1H2AI	29	0	0	0
HIST1H2AK	29	0	0	0
HIST1H2AL	29	0	0	0
HIST1H2AM	29	0	0	0
HIST1H2BA	7	0	0	0
HIST1H2BB	7	0	0	0
HIST1H2BC	31	0	0	0
HIST1H2BD	7	0	0	0
HIST1H2BE	31	0	0	0
HIST1H2BF	31	0	0	0
HIST1H2BG	31	0	0	0
HIST1H2BI	31	0	0	0
HIST1H2BJ	7	0	0	0
HIST1H2BK	7	0	0	0
HIST1H2BL	7	0	0	0
HIST1H2BM	4	0	0	0
HIST1H2BN	7	0	0	0
HIST1H2BO	4	0	0	0
HIST2H2AA3	7	0	0	0
HIST2H2AA4	7	0	0	0
HIST2H2AB	29	0	0	0
HIST2H2AC	7	0	0	0
HIST3H2A	10	0	0	0
COPS3	27	0	1	0
COPS4	27	0	1	0
COPS7A	1	0	0	0
COPS8	1	0	0	0
CEP250	3	0	0	0
FTSJ3	5	0	1	0
CDK12	16	0	0	0
COPB1	24	0	1	0
GABARAP	12	0	0	0
ERAL1	9	0	0	0
GABARAPL1	12	0	0	0
ACTR1A	3	0	0	0
ACTG2	6	0	0	0
DCUN1D5	15	0	0	0
CUL1	20	1	0	0
BET1	3	0	0	0
H2AFB1	7	0	0	0
H2AFJ	7	0	0	0
H2AFV	4	0	0	0
ATAD2	4	0	0	0
CHRNA1	6	0	0	0
CHRNA2	6	0	0	0
AQR	16	0	0	0
BCAS2	23	0	0	0
BUD13	23	0	0	0
BUD31	14	0	0	0
CDC40	32	0	0	0
CIRBP	14	0	0	0
COX15	12	0	0	0
CPSF6	11	0	0	0
CRNKL1	30	0	0	0
CTNNBL1	14	0	0	0
CWC15	23	0	0	0
CWC22	23	0	0	0
DHX16	30	0	0	0
DHX8	23	0	0	0
DNAJC8	14	0	0	0
HIST1H3A	5	0	0	0
HIST1H3B	5	0	0	0
HIST1H3C	5	0	0	0
HIST1H3D	5	0	0	0
HIST1H3E	5	0	0	0
HIST1H3F	5	0	0	0
HIST1H3G	5	0	0	0
HIST1H3H	5	0	0	0
