V1	V2
IGLC7	IGLV7-43
IGLC7	IGLV6-57
IGLC7	IGLV3-27
IGLC7	IGLV3-25
IGLC7	IGLV3-21
IGLC7	IGLV3-1
IGLC7	IGLV3-19
IGLC7	IGLV2-8
IGLC7	IGLV2-23
IGLC7	IGLV2-14
IGLC7	IGLV2-11
IGLC7	IGLV1-51
IGLC7	IGLV1-47
IGLC7	IGLV1-44
IGLC7	IGLV1-40
IGLC6	IGLV7-43
IGLC6	IGLV6-57
IGLC6	IGLV3-27
IGLC6	IGLV3-25
IGLC6	IGLV3-21
IGLC6	IGLV3-1
IGLC6	IGLV3-19
IGLC6	IGLV2-8
IGLC6	IGLV2-23
IGLC6	IGLV2-14
IGLC6	IGLV2-11
IGLC6	IGLV1-51
IGLC6	IGLV1-47
IGLC6	IGLV1-44
IGLC6	IGLV1-40
IGLC3	IGLV7-43
IGLC3	IGLV6-57
IGLC3	IGLV3-27
IGLC3	IGLV3-25
IGLC3	IGLV3-21
IGLC3	IGLV3-1
IGLC3	IGLV3-19
IGLC3	IGLV2-8
IGLC3	IGLV2-23
IGLC3	IGLV2-14
IGLC3	IGLV2-11
IGLC3	IGLV1-51
IGLC3	IGLV1-47
IGLC3	IGLV1-44
IGLC3	IGLV1-40
IGLC2	IGLV7-43
IGLC2	IGLV6-57
IGLC2	IGLV3-27
IGLC2	IGLV3-25
IGLC2	IGLV3-21
IGLC2	IGLV3-1
IGLC2	IGLV3-19
IGLC2	IGLV2-8
IGLC2	IGLV2-23
IGLC2	IGLV2-14
IGLC2	IGLV2-11
IGLC2	IGLV1-51
IGLC2	IGLV1-47
IGLC2	IGLV1-44
IGLC2	IGLV1-40
IGLC1	IGLV7-43
IGLC1	IGLV6-57
IGLC1	IGLV3-27
IGLC1	IGLV3-25
IGLC1	IGLV3-21
IGLC1	IGLV3-1
IGLC1	IGLV3-19
IGLC1	IGLV2-8
IGLC1	IGLV2-23
IGLC1	IGLV2-14
IGLC1	IGLV2-11
IGLC1	IGLV1-51
IGLC1	IGLV1-47
IGLC1	IGLV1-44
IGLC1	IGLV1-40
KLRC2	KLRD1
PIP4K2C	TREM2
PIP4K2C	TRAT1
PIP4K2C	KLRD1
PIP4K2C	KLRC2
PIP4K2C	STRN
HGF	PIP4K2C
ICOS	PIP4K2C
PIK3AP1	PIP4K2C
NCKAP1L	WASF3
NCKAP1L	WASF2
CYFIP2	WASF3
CYFIP2	NCKAP1L
CYFIP1	WASF3
CYFIP1	WASF2
CYFIP1	NCKAP1L
CYFIP1	CYFIP2
BAIAP2	WASF3
BAIAP2	NCKAP1L
BAIAP2	CYFIP1
ABI2	WASF3
ABI2	WASF2
ABI2	NCKAP1L
ABI2	CYFIP2
ABI2	CYFIP1
ABI2	BAIAP2
ABI1	WASF3
ABI1	NCKAP1L
ABI1	CYFIP2
ABI1	CYFIP1
ABI1	BAIAP2
ABI1	ABI2
NCKAP1	WASF3
NCKAP1	NCKAP1L
NCKAP1	CYFIP2
NCKAP1	CYFIP1
NCKAP1	ABI2
NCKAP1	ABI1
GAB1	LAT2
CUX1	LAT2
CUX1	GAB1
CD28	LAT2
CD28	GAB1
CD28	CUX1
GAB2	LAT2
GAB2	GAB1
GAB2	CUX1
ERLIN2	LAT2
ERLIN2	GAB1
ERLIN2	CD28
ERLIN2	GAB2
CD86	LAT2
CD86	GAB1
CD86	CUX1
CD86	CD28
CD86	ERLIN2
CD80	LAT2
CD80	GAB1
CD80	CUX1
CD80	CD28
CD80	ERLIN2
CD80	CD86
FCGR2A	LAT2
FCGR2A	GAB1
FCGR2A	CUX1
FCGR2A	CD28
FCGR2A	GAB2
FCGR2A	ERLIN2
FCGR2A	CD86
FCGR2A	CD80
CNTRL	LAT2
CNTRL	GAB1
CNTRL	CD28
CNTRL	GAB2
CNTRL	ERLIN2
CNTRL	CD86
CNTRL	CD80
CNTRL	FCGR2A
FGFR1OP	LAT2
FGFR1OP	GAB1
FGFR1OP	CD28
FGFR1OP	GAB2
FGFR1OP	CD86
FGFR1OP	CD80
FGFR1OP	FCGR2A
FGFR1OP	CNTRL
MYO18A	LAT2
MYO18A	GAB1
MYO18A	CD28
MYO18A	GAB2
MYO18A	CD86
MYO18A	CD80
MYO18A	FCGR2A
BAG4	LAT2
BAG4	GAB1
BAG4	CD28
BAG4	GAB2
BAG4	CD86
BAG4	CD80
BAG4	FCGR2A
FGFR1OP2	LAT2
FGFR1OP2	GAB1
FGFR1OP2	CD28
FGFR1OP2	GAB2
FGFR1OP2	CD86
FGFR1OP2	CD80
FGFR1OP2	FCGR2A
IGKV5-2	FCAMR
IGKV5-2	IGHD
IGKV4-1	FCAMR
IGKV4-1	IGHD
IGKV3D-20	FCAMR
IGKV3D-20	IGHD
IGKV3-20	FCAMR
IGKV3-20	IGHD
IGKV3-15	FCAMR
IGKV3-15	IGHD
IGKV3-11	FCAMR
IGKV3-11	IGHD
IGKV2D-30	FCAMR
IGKV2D-30	IGHD
IGKV2D-28	FCAMR
IGKV2D-28	IGHD
IGKV2-30	FCAMR
IGKV2-30	IGHD
IGKV2-29	FCAMR
IGKV2-29	IGHD
IGKV2-28	FCAMR
IGKV2-28	IGHD
IGKV1D-39	FCAMR
IGKV1D-39	IGHD
IGKV1D-33	FCAMR
IGKV1D-33	IGHD
IGKV1D-16	FCAMR
IGKV1D-16	IGHD
IGKV1D-12	FCAMR
IGKV1D-12	IGHD
IGKV1-5	FCAMR
IGKV1-5	IGHD
IGKV1-39	FCAMR
IGKV1-39	IGHD
IGKV1-33	FCAMR
IGKV1-33	IGHD
IGKV1-17	FCAMR
IGKV1-17	IGHD
IGKV1-16	FCAMR
IGKV1-16	IGHD
IGKV1-12	FCAMR
IGKV1-12	IGHD
IGHV4-59	FCAMR
IGHV4-59	IGHD
IGHV4-59	IGKV5-2
IGHV4-59	IGKV4-1
IGHV4-59	IGKV3D-20
IGHV4-59	IGKV3-20
IGHV4-59	IGKV3-15
IGHV4-59	IGKV3-11
IGHV4-59	IGKV2D-30
IGHV4-59	IGKV2D-28
IGHV4-59	IGKV2-30
IGHV4-59	IGKV2-29
IGHV4-59	IGKV2-28
IGHV4-59	IGKV1D-39
IGHV4-59	IGKV1D-33
IGHV4-59	IGKV1D-16
