nodes	clusters	HIV_preys	HPV_preys	Secreted_inflamm	HIV_preys	HPV_preys	Secreted_inflamm
AKT1	16	0	0	0	0	0	0
MYD88	17	0	0	0	0	0	0
PIK3CA	5	0	0	0	0	0	0
PIK3R1	13	0	0	0	0	0	0
SOS1	3	0	0	0	0	0	0
AMBP	13	0	0	0	0	0	0
MAPT	2	0	0	0	0	0	0
PDGFA	8	0	0	0	0	0	0
PDGFB	9	0	0	0	0	0	0
SNRPF	2	0	0	0	0	0	0
AMPH	7	0	0	0	0	0	0
SH3KBP1	15	0	0	0	0	0	0
AREG	5	0	0	0	0	0	0
BTC	5	0	0	0	0	0	0
CBL	7	0	0	0	0	0	0
CD3G	5	0	0	0	0	0	0
CLTCL1	7	0	0	0	0	0	0
DVL2	15	0	0	0	0	0	0
DVL3	15	0	0	0	0	0	0
EGF	5	0	0	0	0	0	0
EPGN	5	0	0	0	0	0	0
EREG	5	0	0	0	0	0	0
FNBP1	7	0	0	0	0	0	0
HBEGF	5	0	0	0	0	0	0
KIAA0319	7	0	0	0	0	0	0
LDLR	7	0	0	0	0	0	0
MYO10	7	0	0	0	0	0	0
NECAP2	7	0	0	0	0	0	0
OCRL	13	0	0	0	0	0	0
PACSIN3	7	0	0	0	0	0	0
PIP5K1A	13	0	1	0	0	1	0
PIP5K1B	13	0	0	0	0	0	0
PIP5K1C	13	0	0	0	0	0	0
REPS2	7	0	0	0	0	0	0
SGIP1	7	0	0	0	0	0	0
SNAP91	7	0	0	0	0	0	0
STAM2	7	0	0	0	0	0	0
STAM	7	0	0	0	0	0	0
STON1	7	0	0	0	0	0	0
SYNJ1	3	0	0	0	0	0	0
SYT8	7	0	0	0	0	0	0
TACR1	7	0	0	0	0	0	0
TGFA	5	0	0	0	0	0	0
WNT5A	7	0	0	0	0	0	0
INPP5K	5	0	0	0	0	0	0
ANXA1	11	0	0	0	0	0	0
C1QBP	11	0	0	0	0	0	0
CALM1	6	0	0	0	0	0	0
HNRNPH3	0	1	0	0	1	0	0
