Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
PIK3CA	PIK3CA: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	390	35%
YWHAZ	YWHAZ: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	313	28%
AKT3	AKT3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	209	19%
PRKDC	PRKDC: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	185	17%
PTEN	PTEN: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	171	16%
PPP2CB	PPP2CB: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	162	15%
PPP2R2A	PPP2R2A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	158	14%
YWHAB	YWHAB: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	150	14%
MTOR	MTOR: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	123	11%
PDPK1	PDPK1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	119	11%
RAF1	RAF1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	114	10%
ESR1	ESR1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	112	10%
FOXO3	FOXO3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	112	10%
RICTOR	RICTOR: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	102	9%
GSK3A	GSK3A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	101	9%
CDKN1B	CDKN1B: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	99	9%
SRC	SRC: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	97	9%
PIK3R1	PIK3R1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	94	9%
PIK3R2	PIK3R2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	94	9%
AKT2	AKT2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	89	8%
CDKN1A	CDKN1A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	88	8%
MLST8	MLST8: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	86	8%
AKT1	AKT1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	85	8%
INPPL1	INPPL1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	85	8%
GSK3B	GSK3B: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	84	8%
PPP2CA	PPP2CA: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	81	7%
TBC1D4	TBC1D4: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	79	7%
YWHAE	YWHAE: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	78	7%
INSR	INSR: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	74	7%
PHLPP1	PHLPP1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	70	6%
YWHAQ	YWHAQ: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	68	6%
VEGFA	VEGFA: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	67	6%
CASP9	CASP9: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	65	6%
MAP3K5	MAP3K5: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	64	6%
PHLPP2	PHLPP2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	63	6%
PIK3CB	PIK3CB: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	58	5%
FOXO1	FOXO1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	56	5%
PGR	PGR: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	56	5%
PPP2R1A	PPP2R1A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	55	5%
KPNA1	KPNA1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	53	5%
MAPKAP1	MAPKAP1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	53	5%
YWHAG	YWHAG: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	52	5%
BAD	BAD: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	50	5%
HSP90AA1	HSP90AA1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	49	4%
PRKACA	PRKACA: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	49	4%
YWHAH	YWHAH: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	45	4%
CHUK	CHUK: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	43	4%
PIK3CD	PIK3CD: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	43	4%
PIK3R3	PIK3R3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	42	4%
PPP2R1B	PPP2R1B: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	41	4%
CKB	CKB: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	40	4%
HIF1A	HIF1A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	39	4%
SP1	SP1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	38	3%
SFN	SFN: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	36	3%
SLC2A4	SLC2A4: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	35	3%
FOXO4	FOXO4: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	34	3%
PIK3CG	PIK3CG: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	34	3%
INPP5D	INPP5D: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	12	1.1%
