Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
YWHAB	YWHAB: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	150	24%
SRC	SRC: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	103	16%
YWHAZ	YWHAZ: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	97	15%
PPP2R2A	PPP2R2A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	79	12%
MTOR	MTOR: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	69	11%
YWHAE	YWHAE: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	68	11%
PPP2CB	PPP2CB: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	67	11%
PRKDC	PRKDC: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	65	10%
PIK3CA	PIK3CA: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	63	10%
RICTOR	RICTOR: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	60	9%
RAF1	RAF1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	56	9%
AKT2	AKT2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	55	9%
PTEN	PTEN: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	51	8%
PHLPP1	PHLPP1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	50	8%
ESR1	ESR1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	49	8%
GSK3A	GSK3A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	48	8%
AKT3	AKT3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	47	7%
GSK3B	GSK3B: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	45	7%
PGR	PGR: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	45	7%
PIK3R1	PIK3R1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	43	7%
FOXO3	FOXO3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	42	7%
AKT1	AKT1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	41	6%
FOXO1	FOXO1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	40	6%
PIK3R2	PIK3R2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	40	6%
TBC1D4	TBC1D4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	39	6%
CDKN1B	CDKN1B: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	35	6%
CDKN1A	CDKN1A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	33	5%
HSP90AA1	HSP90AA1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	33	5%
CASP9	CASP9: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	32	5%
CHUK	CHUK: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	4%
PPP2CA	PPP2CA: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	4%
YWHAG	YWHAG: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	4%
YWHAH	YWHAH: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	4%
MAP3K5	MAP3K5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	3%
MLST8	MLST8: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	3%
PIK3CG	PIK3CG: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	3%
INSR	INSR: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	3%
PDPK1	PDPK1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	3%
SFN	SFN: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	3%
PIK3CB	PIK3CB: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
PPP2R1A	PPP2R1A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
SLC2A4	SLC2A4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
PHLPP2	PHLPP2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	2.7%
PRKACA	PRKACA: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	2.7%
YWHAQ	YWHAQ: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	2.7%
