Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
PIK3CA	PIK3CA: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	103	22%
PTEN	PTEN: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	73	15%
PRKDC	PRKDC: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	66	14%
YWHAB	YWHAB: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	64	13%
RICTOR	RICTOR: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	63	13%
MTOR	MTOR: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	56	12%
YWHAZ	YWHAZ: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	47	10%
CDKN1A	CDKN1A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	42	9%
INPPL1	INPPL1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	42	9%
PGR	PGR: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	41	9%
PIK3CG	PIK3CG: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	41	9%
FOXO3	FOXO3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	40	8%
PIK3R2	PIK3R2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	37	8%
SRC	SRC: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	37	8%
VEGFA	VEGFA: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	36	8%
AKT2	AKT2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	35	7%
TBC1D4	TBC1D4: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	34	7%
PIK3R1	PIK3R1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	33	7%
AKT3	AKT3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	32	7%
GSK3A	GSK3A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	31	6%
RAF1	RAF1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	31	6%
CDKN1B	CDKN1B: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	30	6%
PHLPP1	PHLPP1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	30	6%
ESR1	ESR1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	6%
AKT1	AKT1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	5%
PIK3CB	PIK3CB: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	5%
PPP2R1A	PPP2R1A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	5%
PIK3CD	PIK3CD: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	25	5%
GSK3B	GSK3B: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	5%
PHLPP2	PHLPP2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	23	5%
MAP3K5	MAP3K5: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	22	5%
INSR	INSR: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	21	4%
FOXO1	FOXO1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	20	4%
HSP90AA1	HSP90AA1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	20	4%
YWHAG	YWHAG: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	19	4%
MAPKAP1	MAPKAP1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	18	4%
YWHAE	YWHAE: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	18	4%
PPP2CB	PPP2CB: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	16	3%
PPP2R1B	PPP2R1B: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	15	3%
INPP5D	INPP5D: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	14	2.9%
MLST8	MLST8: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	14	2.9%
PIK3R3	PIK3R3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	14	2.9%
PPP2R2A	PPP2R2A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	14	2.9%
SP1	SP1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	14	2.9%
SLC2A4	SLC2A4: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	13	2.7%
PPP2CA	PPP2CA: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	12	2.5%
BAD	BAD: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	11	2.3%
CASP9	CASP9: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	11	2.3%
CKB	CKB: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	11	2.3%
FOXO4	FOXO4: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	11	2.3%
HIF1A	HIF1A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	11	2.3%
